title,directedBy,starring,avgRating,imdbId,item_id,votos,labels,metadata
Chairman of the Board (1998),['alexzamm'],"['larrymiller', ""scott'carrottop'thompson"", 'courtneythorne-smith']",1.91315,tt0118836,1679,208.0,"['pg-13', 'idiotic', 'girliemovie', 'predictable', 'catastrophe', 'computergame', 'guiltypleasure']",alexzamm larrymiller scott'carrottop'thompson courtneythorne-smithpg-13 idiotic girliemovie predictable catastrophe computergame guiltypleasure
Sliding Doors (1998),['peterhowitt'],"['johnhannah', 'johnlynch', 'gwynethpaltrow']",3.50776,tt0120148,1680,8518.0,"['pg-13', 'books', 'original', 'romantic', 'destiny', 'veryinteresting', 'good', 'remake', 'british', 'lovestory']",peterhowitt johnhannah johnlynch gwynethpaltrowpg-13 books original romantic destiny veryinteresting good remake british lovestory
Mortal Kombat: Annihilation (1997),['johnr.leonetti'],"['jamesremar', 'robinshou', 'sandrahess']",2.09891,tt0119707,1681,2642.0,"['adaptedfrom:game', 'pointless', 'original', 'videogame', ""sobadit'sgood"", 'videogame', 'teens', 'fightscenes', 'basedonavideogame', 'dragons']",johnr.leonetti jamesremar robinshou sandrahessadaptedfrom:game pointless original videogame sobadit'sgood videogame teens fightscenes basedonavideogame dragons
"Truman Show, The (1998)",['peterweir'],"['jimcarrey', 'noahemmerich', 'edharris']",3.87514,tt0120382,1682,36579.0,"['humanity', 'visuallystunning', 'pg-13', 'original', 'dramatic', 'television', 'secrets', 'goodsoundtrack', 'suburbia', 'weird']",peterweir jimcarrey noahemmerich edharrishumanity visuallystunning pg-13 original dramatic television secrets goodsoundtrack suburbia weird
"Wings of the Dove, The (1997)",['iainsoftley'],"['alexjennings', 'linusroache', 'helenabonhamcarter']",3.6888,tt0120520,1683,2019.0,"['books', 'adaptedfrom:book', 'nudity(topless-notable)', 'criterion', 'love', 'nudity(topless)', 'catastrophe', 'betrayal', 'manipulation', 'periodpiece']",iainsoftley alexjennings linusroache helenabonhamcarterbooks adaptedfrom:book nudity(topless-notable) criterion love nudity(topless) catastrophe betrayal manipulation periodpiece
Mrs. Dalloway (1997),['marleengorris'],"['rupertgraves', 'michaelkitchen', 'nataschamcelhone']",3.51444,tt0119723,1684,652.0,"['pg-13', 'books', 'adaptation', 'secrets', 'literaryadaptation', 'adaptedfrom:book', 'basedonbook', 'catastrophe', 'life&death', 'london']",marleengorris rupertgraves michaelkitchen nataschamcelhonepg-13 books adaptation secrets literaryadaptation adaptedfrom:book basedonbook catastrophe life&death london
"I Love You, I Love You Not (1996)",['billyhopkins'],"['judelaw', 'jamesvanderbeek', 'clairedanes']",2.94898,tt0116592,1685,97.0,"['books', 'original', 'teens', 'lovestory', 'happyending', 'catastrophe', 'life&death', 'disappointing', 'characterstudy']",billyhopkins judelaw jamesvanderbeek clairedanesbooks original teens lovestory happyending catastrophe life&death disappointing characterstudy
Red Corner (1997),['jonavnet'],"['richardgere', 'byronmann', 'bradleywhitford']",3.13281,tt0119994,1686,1050.0,"['pg-13', 'chase', 'drama', 'justice', 'conspiracy', 'deathpenalty', 'plotholes', 'murder', 'catastrophe', 'china']",jonavnet richardgere byronmann bradleywhitfordpg-13 chase drama justice conspiracy deathpenalty plotholes murder catastrophe china
"Jackal, The (1997)",['michaelcaton-jones'],"['richardgere', 'sidneypoitier', 'brucewillis']",3.21211,tt0119395,1687,5683.0,"['assassination', 'pg-13', 'original', 'chase', 'hitman', 'good', 'conspiracy', 'remake', 'assassin', 'catastrophe']",michaelcaton-jones richardgere sidneypoitier brucewillisassassination pg-13 original chase hitman good conspiracy remake assassin catastrophe
Anastasia (1997),"['donbluth', 'garygoldman']","['megryan', 'johncusack', 'kelseygrammer']",3.48821,tt0118617,1688,5280.0,"['indians', 'original', 'cute', 'good', 'animated', 'fairytale', 'love', 'memoryloss', 'happyending', 'musical']",donbluth garygoldman megryan johncusack kelseygrammerindians original cute good animated fairytale love memoryloss happyending musical
"Man Who Knew Too Little, The (1997)",['jonamiel'],"['billmurray', 'petergallagher', 'alfredmolina']",3.24915,tt0120483,1689,2259.0,"['original', 'catastrophe', 'spies']",jonamiel billmurray petergallagher alfredmolinaoriginal catastrophe spies
Alien: Resurrection (1997),['jean-pierrejeunet'],"['ronperlman', 'dominiquepinon', 'winonaryder']",3.03512,tt0118583,1690,13845.0,"['survival', 'dystopicfuture', 'original', 'future', 'mars', 'space', 'aliens', 'madscientist', 'scifi', 'underwater']",jean-pierrejeunet ronperlman dominiquepinon winonarydersurvival dystopicfuture original future mars space aliens madscientist scifi underwater
Alien Escape (1995),['scottharris'],"['heatherford', 'gailharris', 'lesliekaye']",2.56349,tt0112318,1692,126.0,[],scottharris heatherford gailharris lesliekaye
Amistad (1997),['stevenspielberg'],"['morganfreeman', 'nigelhawthorne', 'anthonyhopkins']",3.58746,tt0118607,1693,5716.0,"['pg-13', 'original', 'dramatic', 'basedontruestory', 'courage', 'rebellion', 'good', 'drama', 'spielberg', 'ushistory']",stevenspielberg morganfreeman nigelhawthorne anthonyhopkinspg-13 original dramatic basedontruestory courage rebellion good drama spielberg ushistory
"Apostle, The (1997)",['robertduvall'],"['robertduvall', 'billybobthornton', 'junecartercash']",3.69094,tt0118632,1694,3204.0,"['original', 'christianity', 'redemption', 'independentfilm', 'christian', 'catastrophe', 'betrayal', 'oscar(bestsupportingactress)', 'religion', 'god']",robertduvall robertduvall billybobthornton junecartercashoriginal christianity redemption independentfilm christian catastrophe betrayal oscar(bestsupportingactress) religion god
Artemisia (1997),['agnèsmerlet'],"['mikimanojlovic', 'michelserrault', 'lucazingaretti']",3.49545,tt0123385,1695,219.0,"['pg-13', 'dramatic', 'basedontruestory', 'courage', 'art', 'biography', 'movielenstoppick', 'relationships', 'biographical', 'catastrophe']",agnèsmerlet mikimanojlovic michelserrault lucazingarettipg-13 dramatic basedontruestory courage art biography movielenstoppick relationships biographical catastrophe
Bent (1997),['seanmathias'],"['lothairebluteau', 'nikolajcoster-waldau', 'mickjagger']",3.56293,tt0118698,1696,284.0,"['gaycharacter', 'gay', 'germany', 'original', 'wartime', 'jews', 'wwii', 'veryinteresting', 'harsh', 'homophobia']",seanmathias lothairebluteau nikolajcoster-waldau mickjaggergaycharacter gay germany original wartime jews wwii veryinteresting harsh homophobia
Bang (1995),['ash'],"['darlingnarita', 'petergreene', 'lucyliu']",2.40741,tt0109266,1697,27.0,[],ash darlingnarita petergreene lucyliu
"Boys, Les (1997)",['louissaïa'],"['rémygirard', 'patrickhuard', 'marcmessier']",2.83898,tt0118764,1698,58.0,"['newjersey', 'pg-13', 'original', 'goodsoundtrack', 'caper', 'islam', 'fantasyworld', 'good', 'teenagers', 'harsh']",louissaïa rémygirard patrickhuard marcmessiernewjersey pg-13 original goodsoundtrack caper islam fantasyworld good teenagers harsh
"Butcher Boy, The (1997)",['neiljordan'],"['eamonnowens', 'seanmcginley', 'petergowen']",3.61445,tt0118804,1699,1219.0,"['adolescence', 'mentalillness', 'psychological', 'alcoholism', 'books', 'darkhumor', 'original', 'weird', 'ireland', 'insanity']",neiljordan eamonnowens seanmcginley petergowenadolescence mentalillness psychological alcoholism books darkhumor original weird ireland insanity
Deconstructing Harry (1997),['woodyallen'],"['woodyallen', 'richardbenjamin', 'kirstiealley']",3.47204,tt0118954,1701,3386.0,"['books', 'obsession', 'original', 'secrets', 'art', 'veryinteresting', 'intimate', 'independentfilm', 'relationships', 'manipulation']",woodyallen woodyallen richardbenjamin kirstiealleybooks obsession original secrets art veryinteresting intimate independentfilm relationships manipulation
Flubber (1997),['lesmayfield'],"['raymondj.barry', 'christophermcdonald', 'robinwilliams']",2.58185,tt0119137,1702,5235.0,"['slapstick', 'disney', 'original', 'teens', 'comedy', 'basedonavideogame', 'clones', 'specialeffects', 'sci-fi', 'computeranimation']",lesmayfield raymondj.barry christophermcdonald robinwilliamsslapstick disney original teens comedy basedonavideogame clones specialeffects sci-fi computeranimation
For Richer or Poorer (1997),['bryanspicer'],"['timallen', 'kirstiealley', 'jayo.sanders']",2.73337,tt0119142,1703,806.0,"['newyork', 'pg-13', 'original', 'newyorkcity', 'good', 'catastrophe', 'bigbudget']",bryanspicer timallen kirstiealley jayo.sandersnewyork pg-13 original newyorkcity good catastrophe bigbudget
Good Will Hunting (1997),['gusvansant'],"['benaffleck', 'mattdamon', 'stellanskarsgård']",4.09706,tt0119217,1704,43425.0,"['adolescence', 'intense', 'psychological', 'humanity', 'familydrama', 'familybonds', 'pg-13', 'irish', 'books', 'original']",gusvansant benaffleck mattdamon stellanskarsgårdadolescence intense psychological humanity familydrama familybonds pg-13 irish books original
Guy (1997),['michaellindsay-hogg'],"['hopedavis', ""vincentd'onofrio"", 'lucyliu']",2.36111,tt0116465,1705,18.0,[],michaellindsay-hogg hopedavis vincentd'onofrio lucyliu
Tar (1996),['goetzgrossmann'],"['kevinthigpen', 'nicoleprescott', 'sethgilliam']",1.97222,tt0116490,1706,18.0,[],goetzgrossmann kevinthigpen nicoleprescott sethgilliam
Home Alone 3 (1997),['rajagosnell'],"['olekkrupa', 'alexd.linz', 'lennyvondohlen']",1.89051,tt0119303,1707,3478.0,"['original', 'suburbia', 'teens', 'surveillance', 'holiday', 'criterion', 'kids', 'franchise', 'sequel', 'catastrophe']",rajagosnell olekkrupa alexd.linz lennyvondohlenoriginal suburbia teens surveillance holiday criterion kids franchise sequel catastrophe
Ill Gotten Gains (1997),['joelb.marsden'],"[""de'aundrebonds"", 'djimonhounsou', 'akosuabusia']",2.19444,tt0119352,1708,18.0,[],joelb.marsden de'aundrebonds djimonhounsou akosuabusia
Legal Deceit (1997),['monikaharris'],"['edbeechner', 'jeffreydeanmorgan', 'philmorris']",2.74242,tt0130073,1709,33.0,[],monikaharris edbeechner jeffreydeanmorgan philmorris
Man of Her Dreams (a.k.a. The Fiancé) (1997),['martinkitrosser'],"['williamr.moses', 'lysetteanthony', 'patrickcassidy']",2.10345,tt0116976,1710,29.0,[],martinkitrosser williamr.moses lysetteanthony patrickcassidy
Midnight in the Garden of Good and Evil (1997),['clinteastwood'],"['johncusack', 'kevinspacey', 'jackthompson']",3.25932,tt0119668,1711,5240.0,"['mystery', 'pg-13', 'original', 'secrets', 'weird', 'veryinteresting', 'adaptedfrom:book', 'good', 'friendship', 'drama']",clinteastwood johncusack kevinspacey jackthompsonmystery pg-13 original secrets weird veryinteresting adaptedfrom:book good friendship drama
Mouse Hunt (1997),['goreverbinski'],"['nathanlane', 'maurychaykin', 'leeevans']",2.90676,tt0119715,1713,2819.0,"['quirky', 'slapstick', 'pg-13', 'original', 'comedy', 'predictable', 'happyending', 'catastrophe']",goreverbinski nathanlane maurychaykin leeevansquirky slapstick pg-13 original comedy predictable happyending catastrophe
Never Met Picasso (1996),['stephenkijak'],"['alexisarquette', 'georgiaragsdale', 'margotkidder']",2.42105,tt0117167,1714,38.0,[],stephenkijak alexisarquette georgiaragsdale margotkidder
Office Killer (1997),['cindysherman'],"['carolkane', 'mollyringwald', 'barbarasukowa']",2.5566,tt0119819,1715,106.0,"['original', 'weird', 'veryinteresting', 'teens', 'basedonavideogame', 'israel', 'creativity']",cindysherman carolkane mollyringwald barbarasukowaoriginal weird veryinteresting teens basedonavideogame israel creativity
"Other Voices, Other Rooms (1995)",['davidrocksavage'],"['lothairebluteau', 'annalevine', 'davidspeck']",2.86364,tt0119845,1716,33.0,[],davidrocksavage lothairebluteau annalevine davidspeck
Scream 2 (1997),['wescraven'],"['nevecampbell', 'davidarquette', 'courteneycox']",2.74953,tt0120082,1717,8729.0,"['surpriseending', 'survival', 'sequels', 'original', 'slasher', 'chase', 'parody', 'teens', 'sillyfun', 'good']",wescraven nevecampbell davidarquette courteneycoxsurpriseending survival sequels original slasher chase parody teens sillyfun good
Stranger in the House (1997),['rodneygibbons'],"['brucedinsmore', 'steverailsback', 'michelegreene']",2.99107,tt0120222,1718,56.0,"['arthouse', 'veryinteresting', 'teens', 'catastrophe']",rodneygibbons brucedinsmore steverailsback michelegreenearthouse veryinteresting teens catastrophe
"Sweet Hereafter, The (1997)",['atomegoyan'],"['caerthanbanks', 'ianholm', 'tommccamus']",3.97456,tt0120255,1719,4018.0,"['atmospheric', 'original', 'secrets', 'tragedy', 'beautifullyfilmed', 'nocturnal', 'veryinteresting', 'canada', 'loneliness', 'harsh']",atomegoyan caerthanbanks ianholm tommccamusatmospheric original secrets tragedy beautifullyfilmed nocturnal veryinteresting canada loneliness harsh
Time Tracers (1995),['bretmccormick'],"['christopherheldman', 'tylermason', 'rockypatterson']",2.25,tt0128755,1720,68.0,[],bretmccormick christopherheldman tylermason rockypatterson
Titanic (1997),['jamescameron'],"['leonardodicaprio', 'katewinslet', 'billyzane']",3.42146,tt0120338,1721,45127.0,"['survival', 'pg-13', 'indians', 'original', 'dramatic', 'basedontruestory', 'goodsoundtrack', 'courage', 'romantic', 'destiny']",jamescameron leonardodicaprio katewinslet billyzanesurvival pg-13 indians original dramatic basedontruestory goodsoundtrack courage romantic destiny
Tomorrow Never Dies (1997),['rogerspottiswoode'],"['piercebrosnan', 'jonathanpryce', 'terihatcher']",3.22693,tt0120347,1722,15013.0,"['realisticaction', 'pg-13', 'england', 'secrets', 'spy', 'chase', 'secretservice', 'jamesbond', 'fightscenes', 'good']",rogerspottiswoode piercebrosnan jonathanpryce terihatcherrealisticaction pg-13 england secrets spy chase secretservice jamesbond fightscenes good
Twisted (1996),['sethmichaeldonsky'],"['keivynmcneillgrayes', 'anthonycrivello', 'davidnorona']",2.75,tt0117994,1723,68.0,"['adolescence', 'cultclassic', 'gay', 'pg-13', 'original', 'future', 'hiphop', 'suburbia', 'islam', 'oscar(bestactress)']",sethmichaeldonsky keivynmcneillgrayes anthonycrivello davidnoronaadolescence cultclassic gay pg-13 original future hiphop suburbia islam oscar(bestactress)
Full Speed (À toute vitesse) (1996),['gaëlmorel'],"['élodiebouchez', 'stéphanerideau', 'pascalcervo']",3.04082,tt0118230,1724,48.0,[],gaëlmorel élodiebouchez stéphanerideau pascalcervo
"Education of Little Tree, The (1997)",['richardfriedenberg'],"['josephashton', 'jamescromwell', 'mikaboorem']",3.51553,tt0119052,1725,160.0,"['indians', 'photography', 'scenic', 'beautifullyfilmed', 'beautifulscenery', 'nativeamericans', 'islam', 'nature', 'visuallyappealing', 'wilderness']",richardfriedenberg josephashton jamescromwell mikabooremindians photography scenic beautifullyfilmed beautifulscenery nativeamericans islam nature visuallyappealing wilderness
"Postman, The (1997)",['kevincostner'],"['jamesbolam', 'jimcarter', 'kevincostner']",2.96939,tt0119925,1726,2675.0,"['dystopicfuture', 'original', 'future', 'post-apocalyptic', 'apocalypse', 'scifi', 'basedonabook', 'dystopia', 'catastrophe', 'lonehero']",kevincostner jamesbolam jimcarter kevincostnerdystopicfuture original future post-apocalyptic apocalypse scifi basedonabook dystopia catastrophe lonehero
"Horse Whisperer, The (1998)",['robertredford'],"['robertredford', 'kristinscottthomas', 'samneill']",3.17059,tt0119314,1727,2663.0,"['newyork', 'girliemovie', 'horses', 'newyorkcity', 'good', 'lovestory', 'happyending', 'catastrophe', 'life&death', 'creativity']",robertredford robertredford kristinscottthomas samneillnewyork girliemovie horses newyorkcity good lovestory happyending catastrophe life&death creativity
"Winter Guest, The (1997)",['alanrickman'],"['garyhollywood', 'arlenecockburn', 'phyllidalaw']",3.48419,tt0120521,1728,251.0,"['original', 'independentfilm']",alanrickman garyhollywood arlenecockburn phyllidalaworiginal independentfilm
Jackie Brown (1997),['quentintarantino'],"['pamgrier', 'samuell.jackson', 'robertforster']",3.694,tt0119396,1729,14243.0,"['ensemblecast', 'cultclassic', 'midlifecrisis', 'darkhumor', 'losangeles', 'hitmen', 'original', 'greatsoundtrack', 'goodsoundtrack', 'heist']",quentintarantino pamgrier samuell.jackson robertforsterensemblecast cultclassic midlifecrisis darkhumor losangeles hitmen original greatsoundtrack goodsoundtrack heist
Kundun (1997),['martinscorsese'],"['tenzinyeshipaichang', 'tulkujamyangkungatenzin', 'gyurmetethong']",3.65521,tt0119485,1730,1939.0,"['greatcinematography', 'visuallystunning', 'pg-13', 'original', 'photography', 'stunning', 'goodsoundtrack', 'beautifullyfilmed', 'beautifulscenery', 'art']",martinscorsese tenzinyeshipaichang tulkujamyangkungatenzin gyurmetethonggreatcinematography visuallystunning pg-13 original photography stunning goodsoundtrack beautifullyfilmed beautifulscenery art
Mr. Magoo (1997),['stanleytong'],"['nickchinlund', 'mattkeeslar', 'leslienielsen']",1.88836,tt0119718,1731,900.0,"['slapstick', 'basedonatvshow', 'disney', 'original', 'stupidity', 'bankrobbery', 'heist', 'chase', 'basedonavideogame', 'surveillance']",stanleytong nickchinlund mattkeeslar leslienielsenslapstick basedonatvshow disney original stupidity bankrobbery heist chase basedonavideogame surveillance
"Big Lebowski, The (1998)",['joelcoen'],"['jeffbridges', 'stevebuscemi', 'johngoodman']",3.98257,tt0118715,1732,30323.0,"['surpriseending', 'hallucinatory', 'quirky', 'cultclassic', 'darkhumor', 'pornography', 'losangeles', 'original', 'off-beatcomedy', 'stupidity']",joelcoen jeffbridges stevebuscemi johngoodmansurpriseending hallucinatory quirky cultclassic darkhumor pornography losangeles original off-beatcomedy stupidity
Afterglow (1997),['alanrudolph'],"['jonnyleemiller', 'nicknolte', 'laraflynnboyle']",3.27273,tt0118566,1733,572.0,"['familydrama', 'original', 'parenthood', 'loneliness', 'suicideattempt', 'irishaccent', 'relationships', 'catastrophe', 'depression', 'allegory']",alanrudolph jonnyleemiller nicknolte laraflynnboylefamilydrama original parenthood loneliness suicideattempt irishaccent relationships catastrophe depression allegory
My Life in Pink (Ma vie en rose) (1997),['alainberliner'],"['georgesdufresne', 'michèlelaroque', 'jean-philippeécoffey']",3.94316,tt0119590,1734,1972.0,"['adolescence', 'gaycharacter', 'gay', 'glbt', 'original', 'beautifullyfilmed', 'weird', 'children', 'france', 'homophobia']",alainberliner georgesdufresne michèlelaroque jean-philippeécoffeyadolescence gaycharacter gay glbt original beautifullyfilmed weird children france homophobia
Great Expectations (1998),['alfonsocuarón'],"['ethanhawke', 'gwynethpaltrow', 'hankazaria']",3.26085,tt0119223,1735,3474.0,"['adolescence', 'pg-13', 'books', 'original', 'art', 'nocturnal', 'adaptedfrom:book', 'basedonabook', 'love', 'catastrophe']",alfonsocuarón ethanhawke gwynethpaltrow hankazariaadolescence pg-13 books original art nocturnal adaptedfrom:book basedonabook love catastrophe
Vermin (1998),['chrisinnis'],"['peterdryden', 'shazbennett', 'katherinekrasney']",2.75,tt0120881,1738,18.0,[],chrisinnis peterdryden shazbennett katherinekrasney
3 Ninjas: High Noon On Mega Mountain (1998),['seanmcnamara'],"['hulkhogan', 'lonianderson', 'jimvarney']",1.60699,tt0118539,1739,671.0,"['original', 'children', 'teens', 'basedonavideogame', 'geek', 'ninja', 'violence', 'family', 'sequel', 'catastrophe']",seanmcnamara hulkhogan lonianderson jimvarneyoriginal children teens basedonavideogame geek ninja violence family sequel catastrophe
Men of Means (1999),['georgemendeluk'],"['kaeladobkin', 'raymondserra', 'austinpendleton']",2.64286,tt0119655,1740,21.0,[],georgemendeluk kaeladobkin raymondserra austinpendleton
Caught Up (1998),['darinscott'],"['cliftonpowell', 'tonytodd', 'bokeemwoodbine']",2.37931,tt0119988,1742,29.0,[],darinscott cliftonpowell tonytodd bokeemwoodbine
Arguing the World (1998),['josephdorman'],"['danielbell', 'nathanglazer', 'irvinghowe']",3.41964,tt0129758,1743,56.0,"['documentary', 'criterion', 'movielenstoppick']",josephdorman danielbell nathanglazer irvinghowedocumentary criterion movielenstoppick
Firestorm (1998),['deansemler'],"['williamforsythe', 'scottglenn', 'howielong']",2.47559,tt0120670,1744,506.0,"['prisonescape', 'prison', 'chase', 'specialeffects', 'predictable', 'catastrophe', 'action', 'stereotypes', 'bigbudget']",deansemler williamforsythe scottglenn howielongprisonescape prison chase specialeffects predictable catastrophe action stereotypes bigbudget
Senseless (1998),['penelopespheeris'],"['marlonwayans', 'davidspade', 'matthewlillard']",2.83522,tt0120820,1746,495.0,"['pg-13', 'ridiculous', 'original', 'writers', 'funnyashell', 'sillyfun', 'college', 'hilarious', 'silly', 'catastrophe']",penelopespheeris marlonwayans davidspade matthewlillardpg-13 ridiculous original writers funnyashell sillyfun college hilarious silly catastrophe
Wag the Dog (1997),['barrylevinson'],"['dustinhoffman', 'robertdeniro', 'anneheche']",3.50854,tt0120885,1747,12523.0,"['worldpolitics', 'president', 'original', 'secrets', 'gulfwar', 'talky', 'conspiracy', 'surveillance', 'satire', 'basedonabook']",barrylevinson dustinhoffman robertdeniro annehecheworldpolitics president original secrets gulfwar talky conspiracy surveillance satire basedonabook
Dark City (1998),['alexproyas'],"['williamhurt', 'rufussewell', 'kiefersutherland']",3.8001,tt0118929,1748,13860.0,"['greatcinematography', 'dystopicfuture', 'visuallystunning', 'pg-13', 'original', 'secrets', 'darkfantasy', 'future', 'fountainofyouth', 'post-apocalyptic']",alexproyas williamhurt rufussewell kiefersutherlandgreatcinematography dystopicfuture visuallystunning pg-13 original secrets darkfantasy future fountainofyouth post-apocalyptic
The Leading Man (1996),['johnduigan'],"['jonbonjovi', 'annagaliena', 'lambertwilson']",3.085,tt0116845,1749,99.0,"['realisticaction', 'pg-13', 'books', 'original', 'conmen', 'workingclass', 'goodsoundtrack', 'bankrobbery', 'beautifullyfilmed', 'caper']",johnduigan jonbonjovi annagaliena lambertwilsonrealisticaction pg-13 books original conmen workingclass goodsoundtrack bankrobbery beautifullyfilmed caper
Star Kid (1997),['mannycoto'],"['alexdaniels', 'richardgilliland', 'josephmazzello']",2.22884,tt0120478,1750,375.0,"['superhero', 'pg-13', 'betterthanexpected', 'comic', 'original', 'super-hero', 'cheesy', 'sillyfun', 'good', 'basedonacomic']",mannycoto alexdaniels richardgilliland josephmazzellosuperhero pg-13 betterthanexpected comic original super-hero cheesy sillyfun good basedonacomic
Hard Rain (1998),['mikaelsalomon'],"['morganfreeman', 'randyquaid', 'christianslater']",2.765,tt0120696,1752,1909.0,"['original', 'chase', 'disaster', 'catastrophe', 'action', 'creativity', 'bigbudget']",mikaelsalomon morganfreeman randyquaid christianslateroriginal chase disaster catastrophe action creativity bigbudget
Half Baked (1998),['tamradavis'],"['davechappelle', 'guillermodíaz', 'jimbreuer']",3.28884,tt0120693,1753,2889.0,"['drugs', 'original', 'stupidity', 'weed', 'funny', 'comedy', 'marijuana', 'hilarious', 'quotable', 'drugabuse']",tamradavis davechappelle guillermodíaz jimbreuerdrugs original stupidity weed funny comedy marijuana hilarious quotable drugabuse
Fallen (1998),['gregoryhoblit'],"['johngoodman', 'donaldsutherland', 'denzelwashington']",3.49405,tt0119099,1754,4362.0,"['pg-13', 'original', 'demons', 'chase', 'islam', 'thriller', 'good', 'supernatural', 'devil', 'catastrophe']",gregoryhoblit johngoodman donaldsutherland denzelwashingtonpg-13 original demons chase islam thriller good supernatural devil catastrophe
Shooting Fish (1997),['stefanschwartz'],"['danfutterman', 'stuarttownsend', 'katebeckinsale']",3.49046,tt0120122,1755,674.0,"['pg-13', 'original', 'hospital', 'chase', 'good', 'money', 'conartists', 'love']",stefanschwartz danfutterman stuarttownsend katebeckinsalepg-13 original hospital chase good money conartists love
"Prophecy II, The (1998)",['gregspence'],"['christopherwalken', 'russellwong', 'jenniferbeals']",2.72133,tt0118643,1756,542.0,"['sequels', 'original', 'hospital', 'teleportation', 'splatter', 'chase', 'teens', 'supernatural', 'catastrophe', 'serialkiller']",gregspence christopherwalken russellwong jenniferbealssequels original hospital teleportation splatter chase teens supernatural catastrophe serialkiller
Fallen Angels (Duo luo tian shi) (1995),['wongkar-wai'],"['leonlai', 'michelleries', 'takeshikaneshiro']",3.90148,tt0112913,1757,627.0,"['greatcinematography', 'assassination', 'hitmen', 'original', 'bankrobbery', 'beautifullyfilmed', 'art', 'weird', 'hitman', 'nocturnal']",wongkar-wai leonlai michelleries takeshikaneshirogreatcinematography assassination hitmen original bankrobbery beautifullyfilmed art weird hitman nocturnal
"Four Days in September (O Que É Isso, Companheiro?) (1997)",['brunobarreto'],"['alanarkin', 'fernandatorres', 'pedrocardoso']",3.76161,tt0119815,1759,401.0,"['assassination', 'original', 'islam', 'hitman', 'veryinteresting', 'conspiracy', 'independentfilm', 'assassin', '1970s', 'betrayal']",brunobarreto alanarkin fernandatorres pedrocardosoassassination original islam hitman veryinteresting conspiracy independentfilm assassin 1970s betrayal
Spice World (1997),['bobspiers'],"['victoriabeckham', 'melaniebrown', 'emmabunton']",1.82654,tt0120185,1760,3204.0,"['pg-13', 'original', 'teens', 'british', 'shakespeare', 'fun', 'catastrophe', 'music', 'musicians', 'stereotypes']",bobspiers victoriabeckham melaniebrown emmabuntonpg-13 original teens british shakespeare fun catastrophe music musicians stereotypes
Deep Rising (1998),['stephensommers'],"['anthonyheald', ""kevinj.o'connor"", 'treatwilliams']",2.78035,tt0118956,1762,1587.0,"['monster', 'survival', 'hunting', 'original', 'splatter', 'chase', 'apocalypse', 'basedonavideogame', 'wilderness', 'happyending']",stephensommers anthonyheald kevinj.o'connor treatwilliamsmonster survival hunting original splatter chase apocalypse basedonavideogame wilderness happyending
Tainted (1998),['brianevans'],"['michealagrusso', 'belindabonaudo', 'jasonbrouwer']",2.65,tt0128690,1764,20.0,[],brianevans michealagrusso belindabonaudo jasonbrouwer
"Letter From Death Row, A (1998)",['marvinbaker'],"['bretmichaels', 'martinsheen', 'robwild']",2.57812,tt0119521,1765,31.0,[],marvinbaker bretmichaels martinsheen robwild
Music From Another Room (1998),['charliepeters'],"['judelaw', 'gretchenmol', 'marthaplimpton']",3.17276,tt0119734,1767,241.0,"['pg-13', 'original', 'romantic', 'good', 'lovestory', 'love', 'happyending', 'feel-good', 'catastrophe', 'computergame']",charliepeters judelaw gretchenmol marthaplimptonpg-13 original romantic good lovestory love happyending feel-good catastrophe computergame
Mother and Son (Mat i syn) (1997),['aleksandrsokurov'],"['alekseiananishnov', 'gudrungeyer']",3.45902,tt0119711,1768,55.0,[],aleksandrsokurov alekseiananishnov gudrungeyer
"Replacement Killers, The (1998)",['antoinefuqua'],"['chowyun-fat', 'mirasorvino', 'michaelrooker']",3.09963,tt0120008,1769,2940.0,"['realisticaction', 'pg-13', 'hitmen', 'original', 'hitman', 'assassin', 'catastrophe', 'gunfight', 'revenge', 'armsdealer']",antoinefuqua chowyun-fat mirasorvino michaelrookerrealisticaction pg-13 hitmen original hitman assassin catastrophe gunfight revenge armsdealer
B. Monkey (1998),['michaelradford'],"['asiaargento', 'jaredharris', 'ruperteverett']",2.86147,tt0120594,1770,229.0,"['adolescence', 'pg-13', 'original', 'bankrobbery', 'organizedcrime', 'hospital', 'jazz', 'drinking', 'loneliness', 'school']",michaelradford asiaargento jaredharris ruperteverettadolescence pg-13 original bankrobbery organizedcrime hospital jazz drinking loneliness school
Night Flier (1997),['markpavia'],"['miguelferrer', 'julieentwisle', 'danmonahan']",2.7,tt0119784,1771,406.0,"['scary', 'original', 'blood', 'splatter', 'vampire', 'chase', 'teens', 'supernatural', 'horror', 'catastrophe']",markpavia miguelferrer julieentwisle danmonahanscary original blood splatter vampire chase teens supernatural horror catastrophe
Blues Brothers 2000 (1998),['johnlandis'],"['danaykroyd', 'johngoodman', 'joemorton']",2.61437,tt0118747,1772,3372.0,"['sequels', 'basedonatvshow', 'original', 'prison', 'chase', 'plotholes', 'musical', 'sequel', 'catastrophe', 'music']",johnlandis danaykroyd johngoodman joemortonsequels basedonatvshow original prison chase plotholes musical sequel catastrophe music
